key,value,date
POS,3,11/01/2007
POS,2,01/01/2008
POS,1,02/01/2008
POS,2,03/01/2008
POS,1,05/01/2008
POS,1,06/01/2008
POS,1,07/01/2008
POS,0,09/01/2008
POS,1,01/01/2009
POS,1,02/01/2009
POS,2,03/01/2009
POS,2,04/01/2009
POS,2,05/01/2009
POS,4,06/01/2009
POS,2,07/01/2009
POS,2,08/01/2009
POS,2,09/01/2009
POS,3,10/01/2009
POS,2,11/01/2009
POS,3,12/01/2009
POS,2,01/01/2010
POS,1,02/01/2010
POS,3,03/01/2010
POS,5,04/01/2010
POS,1,05/01/2010
POS,4,06/01/2010
POS,1,07/01/2010
POS,4,08/01/2010
POS,2,09/01/2010
POS,6,10/01/2010
POS,3,11/01/2010
POS,3,12/01/2010
POS,1,02/01/2011
POS,3,03/01/2011
POS,5,04/01/2011
POS,4,05/01/2011
POS,6,06/01/2011
POS,4,07/01/2011
POS,8,08/01/2011
POS,4,09/01/2011
POS,2,10/01/2011
POS,2,11/01/2011
POS,1,12/01/2011
POS,4,01/01/2012
POS,3,02/01/2012
POS,4,03/01/2012
POS,3,04/01/2012
POS,6,05/01/2012
POS,11,06/01/2012
POS,10,07/01/2012
POS,12,08/01/2012
POS,8,09/01/2012
POS,11,10/01/2012
POS,11,11/01/2012
POS,4,12/01/2012
NEG,0,11/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,1,09/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,0,06/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,2,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
