key,value,date
POS,0,02/01/2003
POS,2,05/01/2003
POS,2,07/01/2003
POS,0,09/01/2003
POS,1,10/01/2003
POS,0,12/01/2003
POS,0,02/01/2004
POS,0,05/01/2004
POS,2,06/01/2004
POS,0,07/01/2004
POS,1,08/01/2004
POS,1,09/01/2004
POS,1,11/01/2004
POS,1,12/01/2004
POS,3,01/01/2005
POS,1,02/01/2005
POS,0,03/01/2005
POS,2,04/01/2005
POS,1,05/01/2005
POS,2,07/01/2005
POS,0,08/01/2005
POS,3,09/01/2005
POS,3,10/01/2005
POS,1,01/01/2006
POS,1,02/01/2006
POS,1,04/01/2006
POS,2,05/01/2006
POS,0,06/01/2006
POS,1,07/01/2006
POS,1,09/01/2006
POS,3,10/01/2006
POS,0,12/01/2006
POS,2,01/01/2007
POS,1,02/01/2007
POS,2,04/01/2007
POS,1,05/01/2007
POS,0,06/01/2007
POS,1,07/01/2007
POS,2,08/01/2007
POS,1,09/01/2007
POS,2,10/01/2007
POS,0,11/01/2007
POS,0,12/01/2007
POS,2,01/01/2008
POS,3,02/01/2008
POS,2,03/01/2008
POS,0,04/01/2008
POS,2,05/01/2008
POS,2,06/01/2008
POS,0,07/01/2008
POS,4,08/01/2008
POS,1,09/01/2008
POS,3,10/01/2008
POS,1,11/01/2008
POS,0,12/01/2008
POS,1,01/01/2009
POS,2,02/01/2009
POS,2,03/01/2009
POS,2,04/01/2009
POS,0,05/01/2009
POS,2,06/01/2009
POS,1,07/01/2009
POS,1,08/01/2009
POS,3,10/01/2009
POS,0,11/01/2009
POS,1,12/01/2009
POS,3,02/01/2010
POS,0,03/01/2010
POS,2,04/01/2010
POS,1,05/01/2010
POS,2,06/01/2010
POS,1,07/01/2010
POS,3,08/01/2010
POS,4,09/01/2010
POS,4,10/01/2010
POS,1,11/01/2010
POS,1,12/01/2010
POS,2,01/01/2011
POS,3,02/01/2011
POS,1,03/01/2011
POS,5,04/01/2011
POS,3,05/01/2011
POS,2,06/01/2011
POS,3,07/01/2011
POS,2,08/01/2011
POS,9,09/01/2011
POS,5,10/01/2011
POS,7,11/01/2011
POS,2,12/01/2011
POS,2,01/01/2012
POS,4,02/01/2012
POS,6,03/01/2012
POS,7,04/01/2012
POS,3,05/01/2012
POS,6,06/01/2012
POS,11,07/01/2012
POS,1,08/01/2012
POS,10,09/01/2012
POS,9,10/01/2012
POS,9,11/01/2012
POS,2,12/01/2012
NEG,2,02/01/2003
NEG,0,05/01/2003
NEG,1,07/01/2003
NEG,1,09/01/2003
NEG,1,10/01/2003
NEG,1,12/01/2003
NEG,1,02/01/2004
NEG,3,05/01/2004
NEG,0,06/01/2004
NEG,1,07/01/2004
NEG,1,08/01/2004
NEG,1,09/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,1,01/01/2005
NEG,0,02/01/2005
NEG,1,03/01/2005
NEG,2,04/01/2005
NEG,0,05/01/2005
NEG,0,07/01/2005
NEG,1,08/01/2005
NEG,1,09/01/2005
NEG,0,10/01/2005
NEG,2,01/01/2006
NEG,0,02/01/2006
NEG,0,04/01/2006
NEG,4,05/01/2006
NEG,1,06/01/2006
NEG,1,07/01/2006
NEG,1,09/01/2006
NEG,1,10/01/2006
NEG,1,12/01/2006
NEG,2,01/01/2007
NEG,0,02/01/2007
NEG,2,04/01/2007
NEG,0,05/01/2007
NEG,1,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,0,09/01/2007
NEG,1,10/01/2007
NEG,3,11/01/2007
NEG,3,12/01/2007
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,1,04/01/2008
NEG,2,05/01/2008
NEG,1,06/01/2008
NEG,2,07/01/2008
NEG,2,08/01/2008
NEG,2,09/01/2008
NEG,3,10/01/2008
NEG,1,11/01/2008
NEG,1,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,0,04/01/2009
NEG,2,05/01/2009
NEG,1,06/01/2009
NEG,2,07/01/2009
NEG,3,08/01/2009
NEG,3,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,0,02/01/2010
NEG,2,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,2,08/01/2010
NEG,4,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,2,04/01/2011
NEG,2,05/01/2011
NEG,3,06/01/2011
NEG,1,07/01/2011
NEG,2,08/01/2011
NEG,3,09/01/2011
NEG,4,10/01/2011
NEG,5,11/01/2011
NEG,3,12/01/2011
NEG,3,01/01/2012
NEG,2,02/01/2012
NEG,2,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,6,09/01/2012
NEG,3,10/01/2012
NEG,4,11/01/2012
NEG,2,12/01/2012
