key,value,date
POS,1,04/01/2004
POS,1,05/01/2004
POS,3,06/01/2004
POS,2,07/01/2004
POS,3,08/01/2004
POS,2,09/01/2004
POS,2,10/01/2004
POS,1,12/01/2004
POS,2,01/01/2005
POS,1,02/01/2005
POS,5,03/01/2005
POS,3,04/01/2005
POS,6,05/01/2005
POS,3,06/01/2005
POS,10,07/01/2005
POS,8,08/01/2005
POS,7,09/01/2005
POS,4,10/01/2005
POS,6,11/01/2005
POS,1,12/01/2005
POS,5,01/01/2006
POS,4,02/01/2006
POS,3,03/01/2006
POS,6,04/01/2006
POS,4,05/01/2006
POS,4,06/01/2006
POS,7,07/01/2006
POS,7,08/01/2006
POS,6,09/01/2006
POS,6,10/01/2006
POS,4,11/01/2006
POS,6,12/01/2006
POS,3,01/01/2007
POS,2,02/01/2007
POS,5,03/01/2007
POS,8,04/01/2007
POS,5,05/01/2007
POS,9,06/01/2007
POS,7,07/01/2007
POS,7,08/01/2007
POS,7,09/01/2007
POS,9,10/01/2007
POS,5,11/01/2007
POS,7,12/01/2007
POS,7,01/01/2008
POS,4,02/01/2008
POS,6,03/01/2008
POS,10,04/01/2008
POS,3,05/01/2008
POS,6,06/01/2008
POS,9,07/01/2008
POS,5,08/01/2008
POS,9,09/01/2008
POS,6,10/01/2008
POS,4,11/01/2008
POS,2,12/01/2008
POS,1,01/01/2009
POS,4,02/01/2009
POS,8,03/01/2009
POS,7,04/01/2009
POS,9,05/01/2009
POS,7,06/01/2009
POS,7,07/01/2009
POS,10,08/01/2009
POS,9,09/01/2009
POS,11,10/01/2009
POS,7,11/01/2009
POS,6,12/01/2009
POS,5,01/01/2010
POS,8,02/01/2010
POS,7,03/01/2010
POS,6,04/01/2010
POS,9,05/01/2010
POS,20,06/01/2010
POS,11,07/01/2010
POS,11,08/01/2010
POS,10,09/01/2010
POS,18,10/01/2010
POS,5,11/01/2010
POS,3,12/01/2010
POS,17,01/01/2011
POS,4,02/01/2011
POS,11,03/01/2011
POS,4,04/01/2011
POS,5,05/01/2011
POS,8,06/01/2011
POS,19,07/01/2011
POS,12,08/01/2011
POS,20,09/01/2011
POS,11,10/01/2011
POS,13,11/01/2011
POS,13,12/01/2011
POS,21,01/01/2012
POS,15,02/01/2012
POS,25,03/01/2012
POS,12,04/01/2012
POS,11,05/01/2012
POS,13,06/01/2012
POS,29,07/01/2012
POS,27,08/01/2012
POS,19,09/01/2012
POS,20,10/01/2012
POS,17,11/01/2012
POS,4,12/01/2012
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,1,06/01/2004
NEG,0,07/01/2004
NEG,1,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,1,02/01/2005
NEG,1,03/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,2,08/01/2005
NEG,2,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,2,12/01/2005
NEG,0,01/01/2006
NEG,1,02/01/2006
NEG,2,03/01/2006
NEG,0,04/01/2006
NEG,1,05/01/2006
NEG,0,06/01/2006
NEG,1,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,1,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,1,03/01/2007
NEG,2,04/01/2007
NEG,1,05/01/2007
NEG,1,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,0,09/01/2007
NEG,0,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,1,04/01/2008
NEG,2,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,1,08/01/2008
NEG,1,09/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,0,06/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,1,09/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,3,12/01/2009
NEG,3,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,2,06/01/2010
NEG,5,07/01/2010
NEG,0,08/01/2010
NEG,1,09/01/2010
NEG,1,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,2,02/01/2011
NEG,1,03/01/2011
NEG,1,04/01/2011
NEG,1,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,1,08/01/2011
NEG,6,09/01/2011
NEG,2,10/01/2011
NEG,1,11/01/2011
NEG,2,12/01/2011
NEG,2,01/01/2012
NEG,3,02/01/2012
NEG,1,03/01/2012
NEG,3,04/01/2012
NEG,2,05/01/2012
NEG,2,06/01/2012
NEG,2,07/01/2012
NEG,2,08/01/2012
NEG,3,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
