label,count,month
POS,1,11/01/2008
POS,7,01/01/2009
POS,1,02/01/2009
POS,3,03/01/2009
POS,7,04/01/2009
POS,4,05/01/2009
POS,8,06/01/2009
POS,3,07/01/2009
POS,8,08/01/2009
POS,1,09/01/2009
POS,2,10/01/2009
POS,5,11/01/2009
POS,1,12/01/2009
POS,6,02/01/2010
POS,6,03/01/2010
POS,3,04/01/2010
POS,4,05/01/2010
POS,5,06/01/2010
POS,1,07/01/2010
POS,3,08/01/2010
POS,3,10/01/2010
POS,3,11/01/2010
POS,3,12/01/2010
POS,2,01/01/2011
POS,1,02/01/2011
POS,2,03/01/2011
POS,7,04/01/2011
POS,7,05/01/2011
POS,4,06/01/2011
POS,6,07/01/2011
POS,18,08/01/2011
POS,12,09/01/2011
POS,5,10/01/2011
POS,2,11/01/2011
POS,2,12/01/2011
POS,3,01/01/2012
POS,8,02/01/2012
POS,3,03/01/2012
POS,11,04/01/2012
POS,8,05/01/2012
POS,6,06/01/2012
POS,9,07/01/2012
POS,5,08/01/2012
POS,6,09/01/2012
POS,14,10/01/2012
POS,5,11/01/2012
POS,3,12/01/2012
NEG,0,11/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,1,07/01/2009
NEG,2,08/01/2009
NEG,0,09/01/2009
NEG,2,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,1,02/01/2010
NEG,2,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,1,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,0,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
